,reviewText,sentiment,prediction
3916,"I got a Sony Walkman for my birthday so I downloaded this song as one of my favorites, along with some other ones.  I plan to buy some more songs to download.  Love this site!",positive,negative
3921,"This album shipped from Oklahoma, went to Dallas, then Chicago, and is now headed to Pittsburgh. I live in Memphis. What the hell is going on??",negative,positive
3922,can't download the 2 album set onto my iphone 4.,positive,negative
3924,"The music video is just hilarious, and I haven't laughed so hard for a long time. The senario, the creative outlet. Like the shyness, the "" what's going on"" look?! Like she's lost, confused. In the music video it's like a ""CURSE"". It's like she see's this fortune teller, the fortune teller told her to take a ""SMALL"" bite out of the heart- shaped cookie. The cookie was so ""SWEET"", she made a mistake and took a ""BIGGER"" gulp. She say's ""true"" love would find you. LOL! Apparently, lol. It didn't turn out exactly the way she wanted it to be!!

I guess.. it magnetically drawn guys to her, became magically obsessed with her. lol. Everywhere she goes.. guy's keep stalking her, fighting over her. Fighting to where it's very dangerous, she needs to "" stay away"".

But the daring, Bold Lopez.. is a little mischevious, looking into trouble. Or trying to be ""curious"" of what's going on around her. People getting into car accidents, are WILD!! But, sometimes.. Curiousity ""kills"" the Cat. But.. the funny part is!! She acts like nothing ""happen"", is just dancing with a bunch of guys and Joking around.

I don't really consider that ""flirting"". It's more comical, and a cute Senario, joking around. Then her Papi comes, saves her. All the other guys are sulking, like "" screw this"". She forgets her purse, none of the guys take it. They don't want money!!

She runs off in her MINI Lopez car, is with her Papi. He's in the military. He looks like ED Tempelton. in the video. I was laughing. It was her twin.

But music videos aren't real. It's just for fun. Don't believe everything u hear! One time.. I was watching a music video, this guy had a bunch of hoochies all over him, it turned out he wasn't like that. He was actually not ""kissing"" them. They were all over him but yeah he wasn't a player. He was actually shy, modest. I remember.. jay- Z was flashing his Euro money in the camera. People were like ""yeah"" he's all cocky, greedy an flashing his money around.

It turned out Jay-z isn't cocky, greedy. I heard he's actually real, has a heart.

I suppose they say never judge people by it's cover, unless u really know them. Like the rumors of Jenny, her being a ho. They're not true! It's just gossip.

Don't believe in her music videos as well. Just because she's flirting in the video or whatever it maybe. It's the senario that's trying to match with the song.

Like "" I'm into you"". It's about a women who's into a guy. Not Jenny into that guy! People are so naive, dumb. They think because she's all over a guy in the video she's a ho. It's not true!

Only a person with a brain would understand that!",positive,negative
3925,"this is a hot song, i really enjoy running to it, thanks I love it, I will order more songs",negative,positive
3938,It make you jump up and dance and snap your fingers..,positive,negative
3948,5*,positive,negative
3949,Just as expected.,positive,negative
3960,Shipping took forever.,negative,positive
3961,"I know many people hate the Rebecca Black song (I don't - it is stupid catchy tune from a cute kid).  but this ""Dylan"" version is actually a really good song!  You have to ignore how stupid the lyrics are, of course.  It's a great parody of both the great Bobby Z and the viral R Black.  I think it is worth the 99 cents!  (as a 50-something rock and roller who has seen everyone from Dylan to Tull to Zeppelin, I should be embarrassed to write this review, I know...).  So sue me.",positive,negative
3965,They are not call the University of Salsa for nothing. If you are a fun this is one of if not all of their recording that you as a collector should have. Buy it.,positive,negative
3973,Solid songs but they get old after a while.  I loved this album for about a week and then grew tired of it.,negative,positive
3978,"When I sampled this tune on the internet I thought it was something I would like. I usually enjoy inspirational music, but this version gets old fast and I could get by fine without it. There are so many better versions out there.",negative,positive
3985,Like,positive,negative
3986,"When I sampled this tune on the internet I thought it was something I would like. I usually enjoy inspirational music, but this version gets old fast and I could get by fine without it. There are so many better versions out there.",negative,positive
3991,"When I sampled this tune on the internet I thought it was something I would like. I usually enjoy inspirational music, but this version gets old fast and I could get by fine without it. There are so many better versions out there.",negative,positive
4002,"Of all the songs and all the arrangements performed by the City Slickers, this is easily the most beautiful (straight) and technically difficult when things start popping.  A good introduction for people who have never heard of Spike Jones.",positive,negative
4003,a+++++,positive,negative
4005,Didn't even know this song existed until a while back.  It is ust a great tribute to our great state.,positive,negative
4025,"our family have been fans of nickle creek for years, my husband gave me this for christmas, and i do not care for it-we were talking about it last night, chris thile is an incredible musician, he may be searching for himself, but i can't listen to these songs, they are discordant to the extreme and feel disrespectful to the beauty of bluegrass music -imho:)",negative,positive
4033,"Before moving on to form the Thievery Corporation, Eric Hilton had joined forces with Farid Ali as the Peace Bureau, and on their first EP, ACOUSTIC SOULFUL BEBOP BOOMS, they set out a funky, hip-hop path for themselves right from ""Vibe Providin'."" There's more than a dash of jazz as the horn comes to pep ""The Boom,"" while ""Paradise Dissed"" brings in the bongos. The instrumental versions of the tracks might veer too close to generic coffeeshop music, but ""Cultural Verses"" has a pleasant groove. Luckily both Hilton and Ali would go on to make more memorable music.",negative,positive
4038,"The Michael Packer Blues Band recorded 3 albums from 2003 to 2006. Featured here on the `Best Of' are tracks from ""No Use Running From The Blues"" and the highly acclaimed ""Bleecker - Bowery"" CD. Also included are tracks from the ""Sweet Rhythm"" CD recorded in live performance on February 1, 2006 in NYC, featuring singer-songwriter/guitarist Michael Packer, Jimmy Vivino, guitar (Conan O'Brien), David Maxwell, piano (James Cotton), Lou Marini, sax (Blues Brothers) and Felix Cabrera on harmonica. Michael Packer, born in New York City, recorded 4 albums for major labels including, Atlantic, RCA and Buddah Records in the 70's with his groups, Free Beer and Papa Nebo. The albums were produced, as is this compilation by Alan Lorber, and are also currently available on the Iris Music Group label.  Michael's new albums include ""Michael Packer Blues Band  Live At Lucille's New York City"" and its companion CD,  ""Michael  Packer/Sandy Allen - Reunion Live at Lucille's New York City"".",negative,positive
4060,"This 2 LP set that ABC/Dunhill issued of one of their biggest artists, THE MAMAS AND THE PAPAS was released in early 1970. It contains most, but not all of their hit singles, plus album cuts. The difference between this and other compilations of the group's music is that this has interviews interspersed between some of the songs. Both John Philips and Cass Elliot were interviewed in 1969, and they give some personal and historic insight about the group in interview snippets. Another difference is that there are some tracks with studio chatter and rehearsal takes, with ONCE WAS A TIME I THOUGHT containing the longest rehearsal of the group practicing the song, and Michelle bursting out laughing because they sang it so fast. I CAN'T WAIT contains some parts of the group trying the song out, while DO YOU WANNA DANCE, DANCING BEAR, and DID YOU EVER WANT TO CRY contain some studio chatter at the beginning or end, or with DANCING BEAR, has John saying at the end that he never really finished the song. All of this is illuminating for the ultra Mamas and Papas fan. But if you may be bothered by hearing some conversation between or at the end of songs, another greatest hits album may be the one for you. This was issued to appeal to the collector, and the original pressing of it as a BOX SET with the booklet is the version to own. The box set version has a beautiful booklet filled with photos, and liner notes entitled "" The Last of the Magic Groups "" by the same writer , Andy Wickham , who did the notes to the group's first album. Lyrics to Mamas & Papas songs are included, but strangely, not every song here has the lyrics, and some not on the set are printed as well. Beware of other printings of this album that do not have the box or the booklet. Both ABC/Dunhill and MCA issued this album into the 70's and 80's in a regular double gatefold with only the lyrics, no booklet. Earlier copies on ABC/Dunhill as a double album gatefold may or may not contain the booklet, even though the cover still had printed "" includes many photos "". The later pressings by MCA just stated "" includes many lyrics "" on the cover. Also, this anthology features songs from just the first 3 Mamas and Papas albums. There is not even one song from the excellent 1968 break-up album "" THE PAPAS & THE MAMAS "" , so hits like TWELVE-THIRTY, DREAM A LITTLE DREAM OF ME and SAFE IN MY GARDEN are missing from this set, making it incomplete for a thorough hits collection.

This album is the last and only time that ABC/Dunhill still had the original studio sessions of The Mamas & The Papas released on an album. Sometime in the early to mid 1970's, ABC Records threw out master tapes from their storage facilities. Unbelievable but that's the sad case. It may have had to do with the lawsuit that the group instituted in 1973 for unpaid royalties, as ABC would sell their catalog albums as direct cut-outs to the budget bins, and not pay their artist's royalties. How very sad that there are no original studio sessions available of any of the group's master tapes for decades now . That is why there aren't any unreleased songs, alternate mixes, different takes, or remixes done on Mamas and Papas reissues, except for 4 songs on the "" 16 OF THEIR GREATEST HITS "" CD issued by MCA in 1986. Somehow, 4 songs survived with either longer fades or a different mix. Some of the studio chatter/rehearsal takes of some of the "" A GATHERING OF FLOWERS "" versions have been issued on CD, such as on the "" CREEQUE ALLEY "" 2 CD set in 1992, and on the UK "" COMPLETE ANTHOLOGY "" 4 CD box set.

In addition to the collector's item appeal of the original box set with booklet, ABC/Dunhill also released a promo only 45 with similar album cover artwork that contains some additional interview snippets with John and Cass.

Side One: STRAIGHT SHOOTER, MONDAY MONDAY, TRIP STUMBLE AND FALL, GO WHERE YOU WANNA GO, I CALL YOUR NAME
Side Two:DANCING IN THE STREET, ONCE WAS A TIME I THOUGHT, CREEQUE ALLEY, DANCING BEAR
Side Three:I CAN'T WAIT, DEDICATED TO THE ONE I LOVE, FREE ADVICE, DO YOU WANNA DANCE, SPANISH HARLEM
Side Four:GOT A FEELIN, NO SALT ON HER TAIL, WORDS OF LOVE, I SAW HER AGAIN LST NIGHT, DID YOU EVER WANT TO CRY,",positive,negative
4062,"I bought this and the Fedoseyev recordings the same day. This is the more typical performance of the two (not as briskly paced the Fedoseyev), very enjoyable, nicely played, with decent sound. Certainly can't go wrong buying this.",positive,negative
4069,"I think I found this album randomly one time I searched here on Amazon for this band. I had never heard of it, though myself and other Ace Enders fans had both of his previous albums. Still to this day I haven't met one person who knows about this album - and I feel this is a tragedy. Which is why I decided to review it.
This album is a little different than the first two. I would say the first two have somewhat of a pensive/experimental feel, but while this is still existent in Gold Rush it seems that instead of super long track titles and background noise Ace has turned to his ability to make simple, yet irresistibly charming music. Acoustic guitars, simple but exciting drum beats, tambourines (i think), shakers (like maracas. Not the religious sect that came from the Religious Society of Friends), and Ace Enders vocals make up 90% of the surface of every track. Someone could argue this album is more 'pop' than the previous, but I believe that would miss the point because it seems that Ace is actually going against the grain of experimentation that is all over in indie music now and just writes with his heart using the traditional mediums. The lyrics really connect with you in a way that pop never could.
but on past my rant: I'll review the tracks:

Gold Rush - opens up with percussion including the shaker and Ace's amazing vocals, and never looks back. Great track that deserves to be the title track. It will remind you of some of the tracks on The World We Know with it's pensive feel (and especially lyrics) and a chorus that you just can't resist singing along with. (8/10 rating)

Lame Duck - Beautiful mix of vocals, drums, and acoustic/electric guitar riffs (and later on the shakers) that no one else could pull off as well as Ace. This track doesn't have anything in it to make it stand out from the rest of the album which is why I rate it lower (though I love lyrics), but it still has the same charm. (7.5/10)

Connected - Amazing catchy guitar riffs really make this song, that while overall has a slower tempo than most of the album it still seems it would be the best candidate for a single. If I wanted anyone (regardless of their genre tastes) to be curious about this album I would show them this one. Check it out (10/10)

Complications - While this track seems overshadowed by ""Connected"" because it is relatively similar (tempo, instrument makeup) but doesn't have as catchy of guitar riffs, but the more I've listened to it, it has come to speak for itself. Make sure you wait until the last 30 seconds for everyone to come in with their parts - you'll be glad you did. (8/10)

Had To Be There - Don't discount this one because the intro sounds almost identical to ""Complications"" (same drum beat and similar acoustic riffs), however this track is a gem. It has one of the best choruses and bridges on the album. While I'm never sure what the lyrics are talking about sometimes, I love singing with them (whether the lead or background vocals). (9/10)

Don't Leave Me - though this track might not seem as good to someone not used to Ace's unique voice (though he does temper it with some subtle distortion or something), the percussion in this song and the catchy singing of the track title should win you over. Also this track seems the most mature for some reason. Perhaps because each section (verse, chorus, bridge, outro) seem different from each other yet stand on their own as good.(9.5/10)

Misery -  after listening to this album this has become my new favorite. Probably the simplest song on the album, with the verse having only guitars and drums, and the chorus repeats exactly and doesn't seem cluttered at all. Though it is really simple and might not be anyone else's favorite, I just absolutely love the lyrics because of the way he defines Love. Normally i'd probably give it an 8/10, but because I love the lyrics it gets: (10/10)

Gods - This is the one track where the electric guitars really rule over the acoustic. Interesting harmonies that do work but don't sound 'beautiful', rather seem more like just rock music. At first this song was too repetitive for me (and therefore exemplified the only shortcomings of the album) and so I really didn't care for it. Interestingly enough I actually came to really like it myself, which is why it gets an: (8/10)

Train Stop - This song is refreshing if you've listened to the whole album chronologically because its verse drumbeat is different from all the other tracks. There's a great mix of Ace singing quietly and also giving it his all. Electric guitar riffs go throughout the background and make it never boring to listen to. While it finishes the album off well, it seems almost to leave you wanting more on purpose. (8.5/10)

In conclusion this album is what it is and won't make excuses for it's possibly repetitive music and themes. Overall, this album has simple music put to some of the best lyrical writing out there, and deserves a chance from every Ace Enders fan. When compared to the previous I Can Make a Mess... albums, this one earns it's spot as equal to them.
(Hopefully this is helpful! this is my first album review so feel free to let me know what you think)",positive,negative
4073,"Okay I'm a total dork for luuuuuving a song that came off of the kid's movie American Girl, but it's truly great. It starts off thumping, Nikki Leonti has mad vocals, it's got great song arrangement, and it's totally clean and inspirational. Totally worth a mere buck.",positive,negative
4082,"I was looking for a long time just this edition, and finally I have it!  DVD with Jacket and MV Shooting Sketch is the best of all editions. CD is great as always (it's SHINee :D). Replay and Hello in Japanese are very nice too. I'm really happy that I bought it.",positive,negative
4088,"I received the CD really quickly ! I was supposed to receive it between April 7th and May 7th, I received it on March 27th !
The CD is so good, it was as if it was completely new !
Plus, I had a card in it (I didn't expect it) and it was a very rare one. (thaaanks!)
So, I am mooore than satisfied, everything was perfect.

Thank you so much !",positive,negative
4090,"And even if I wasn't, I would fake like I was and give this thing five stars.",positive,negative
4096,song,negative,positive
4098,Sick beats and rhymes,positive,negative
4100,"I remember this cover of a song that was popular when I was in junior high from when it came out while I was in college. I still like it. Lydia Lunch was one of those slightly off center not-quite-punk artists of the late 70s (""No Wave"" according to Wikipedia). The vinyl was relatively scarce and sought-after back then. No such issue with downloaded MP3, and not the Classics IV.",positive,negative
4118,Black militant type lyrics with a nice beat. I like it. Don't feed too much into the black militancy but it has it's place in trying to be aware of how things are.,positive,negative
4130,"I used Shazaam to find out the details of this song, which i heard as part of a DJ set that a friend of mine recorded and made available to his friends. The Nobody Remix is slightly different than the one in the DJ set, though, and it's not quite as good. The mixed in beats don't quite settle in my opinion. I still like it, but it feels like it needs tighter mixing on rhythm and relative volumes of different pieces.",positive,negative
4131,"I won't claim that this CD sets a mood; the tone of ""My Boyfriend"" and of ""Hide From Me"" are completely opposite. However, if you want something very definitely not mainstream pablum, but rocking enough to crank down the windows and turn the radio up, then I recommend Dick Tracy Must Die.

Yes, I own the CD. Yes, I DID crank the windows down and turn the volume up...on a very hot day, too.",positive,negative
4154,"I was disappointed that the singing on the cd was sung by what I call operatic voices.  I had hoped it would use the voices from the Mother Goose Club videos I watch with my grandchild.  Also, not all the tunes were the same as what they use in the video.",negative,positive
4158,Sounds just like the version we all heard when it first came out. Not like the one for sale on iTunes?,positive,negative
4162,"It's Baa, Baa, BLACK Sheep not Baa, Baa, BAA Sheep. They don't even check the correct lyrics of the Mother Goose Songs.  Even our 4-year-old granddaughter corrects them.  What the heck?",negative,positive
4164,"I was disappointed that the singing on the cd was sung by what I call operatic voices.  I had hoped it would use the voices from the Mother Goose Club videos I watch with my grandchild.  Also, not all the tunes were the same as what they use in the video.",negative,positive
4183,I purchased this song because I heard the song on the radio.  Amazon makes buying mp3's very easy and with their cloud player all your music is saved that you purchase from them.,positive,negative
4209,Just not very good.,negative,positive
4222,I rated only 4stars for the simple reason I have another version on my blackberry phone that on is sinking hot but this one is good I recommend this,positive,negative
4231,"A nice variety of selections, melodies and lots of different tempos suitable for pointe.  I'm glad I found this...it supports the pointe work where regular ballet CDs do not as well.",positive,negative
4234,Best cd by far by fates warning,positive,negative
4236,"Hayler needs lyrics to match his almost unmatchable, soaring voice.  Thrills & chills occur when he's using his upper register.  Some songs/vocals are muted, though, as if he's dummying down his voice for a Christian audience.  Professionally trained by a world-renowned teacher, he could have accepted offers to sing opera in prestigious places around the world.  For all his talent & training, he hasn't accrued a massive library of recordings.",positive,negative
4237,"guitar heaven....riffs that are uplifting, phantasmagoric, blistering, blah, blah, blah, blah, blah, blah----just a great instrumental piece to kick back to",positive,negative
4240,"Havn't heard this album, but I don't need to, to know the picture on it is NOT Ann Sothern (her name was Not 'Southern') The picture is of Ann Sheridan. What teenager put all this together?",negative,positive
4253,"I stumbled upon a youtube video or poor quality of a band called Frankie and his Fingers a little while back. The song sounded like it was pretty good but again the quality of the video wasn't so I couldn't really tell. I kind of left it at that but later on I decided to go back and see if I could find a better quality video of the band. I ended up on a myspace page where they were announcing a new record release along with a change in name, to By Land or Sea. I immediately fell in love with the songs and got to listen to that song that I wanted to hear from the youtube video - Hell Broke Loose. That song is so good.

Great songwriting and really catchy songs, I really hope that they become more well known (but not sellouts) because they really have it. I would love to hear these songs with a little better production quality but I really like the 'raw' feeling and the songs sound great. The album is good all the way through, definitely support this band by buying this album!",positive,negative
4255,"I actually have this double LP that I bought back in the day. It is basically a combination of these two albums sold here, ""Reach For The Sky"" and ""5'll Getcha Ten."" I also have the self-titled album ""Cowboy"" which one of my kids must have used for playing DJ, although none will admit it! All of Cowboy's albums are excellent in my opinion.",positive,negative
4259,Ok,positive,negative
4273,"Although sung by many notable performers, such as Placido Domingo, this rendition by Carlos Gardel is the most authentic. Small wonder he is referred to as ""the most famous singer of Tango ever.""",positive,negative
4274,Could be better not like the country song - doesn't seem the same - Paul Hardcastle could of cone better,negative,positive
4292,"Originally issued by Buddah in 1969, and reissued in expanded form by the UK Cherry Red label in 2010, this historic collection of bubblegum music is now available for domestic&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/digital-download/dp/B004Z0PBLY/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">digital download</a>&nbsp;through Sony's Legacy imprint. The fourteen tracks of the original LP were pulled together from the biggest hits of Buddah's Kasenetz-Katz production team, including the 1910 Fruitgum Company's ""Simon Says,"" the Ohio Express' ""Yummy Yummy Yummy"" and the Lemon Pipers' ""Green Tambourine."" Brilliant melodic hooks, crisp studio productions and child-like lyrics combined to produce songs that were instantly likeable (except, of course, to self-righteous rock fans who'd long-ago lost track of music's simplest pleasures) and more importantly, memorable. Though aimed at the pre-teen crowd, the songs' surface-level innocence often harbored erotic and psychedelic allusions that were sufficiently camouflaged to escape AM radio's gatekeepers.

Though Buddah didn't corner the bubblegum market (the song of the year for 1969, ""Sugar Sugar,"" was on Don Kirshner's Calendar label, for example), their output is easily the largest concentration of the genre's exemplars. Cherry Red's (and now Legacy's) enhanced reissue drops two tunes by the Kasenetz Katz Super Circus (""We Can Work it Out"" and ""I'm in Love With You""), and adds seven titles, including the 1910 Fruitgum Company's ""Indian Giver"" (which post-dated the compilation's release), Salt Water Taffy's ""Finders Keepers"" and the Shadows of Knight's swampy ""Run Run Billy Porter."" This is both a good place to start a bubblegum collection and a terrific spin for those who are already fans. To reach beyond the Buddah stable, try a single disc set like&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/25-All-Time-Greatest-Bubblegum-Hits/dp/B00004TGT4/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">25 All-Time Greatest Bubblegum Hits</a>, or search out copies of Varese Sarabande's five-volume Bubblegum Classics series&nbsp;&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/2/dp/B0000014VV/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">2</a>&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/3/dp/B0000014YT/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">3</a>&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/4/dp/B000001532/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">4</a>&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/5/dp/B000001537/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">5</a>]. [2011 hyperbolium dot com]",positive,negative
4297,"Honestly, I only downloaded this song because of Gallavich.
That being said, it is a wonderful tribute to blues, and it is worth your listen.
Now that that's out of the way, please spend some time watching Shameless (US), and catch this song in the Mickey wedding scene. (No spoilers, I promise. I didn't even scratch the thick surface.
Catch it on Amazon, Netflix, or Watchfree.to .
(Season 7 starts Oct. 2nd, 2016!!!)",positive,negative
4307,If you like the jazz guitar give this man a try. Smoother than 15 year old bourbon.,positive,negative
4311,"While I had the misfortune not to be present when this amazing performance was given, I have had the good fortune to have seen Ken live several times.  If you appreciate blues played extremely well and sung with more soul than you can imagine then give this disc a listen.  One guy singing and playing guitar never sounded so rich and full.  The disc has artfully played standards as well as a number of originals that highlight Ken's great rythmic style. If you want to know what remote is... look up Naples Idaho on a map sometime.  If you pass through, look Ken up.",positive,negative
4319,Good Sound Quality,positive,negative
4320,"This album was certainly good, there is no question about that.  I did feel however like it was lacking something, for this I will give only 4 stars.  Josh Vietti is awesome though, if you like his work help support him by adding this album to your collection.",positive,negative
4355,Same old Same old,negative,positive
4357,"I was looking for music as a background for my ""clown theme"" haunted house effects for Halloween this year.  This is perfect.  VERY creepy.  I'm thinking that, between the props and the music, I'm going to need a booth offering a critical incident stress debriefing group next to my house for anyone crazy enough to approach it :)",positive,negative
4360,"One of a kind recording by the irrepressible one of a kind, Miss Peggy Lee.

Although God has called her home, she Thankfully left behind her irreplaceable music.",positive,negative
4363,"This guy dresses his kid in blackface as Ray Rice and sent his son to school with a black doll dr gaged by her hair. So, he's a great Christian to buy music from.",negative,positive
4368,"This is a cute song from this album, but the other songs in the album are so much better. I recommend this album, but this song is the least enjoyable.",negative,positive
4373,"I don't know what else to say about this song. It came from a Transformers movie, I liked it, so I downloaded the MP3.",positive,negative
4376,Love anything by Michael. Would recommend it over and over again. Money well spent,positive,negative
4377,"Didn't dig this CD by Grimm produced by Don Was. Drab songs,stinko production by Was. Some tunes were a little country flavored and night too bad.
Rob Mitchell",negative,positive
4378,"Love the song, and this version is cleaner and better suited to younger audiences than the original Amy Winehouse version.",positive,negative
4379,"I'd heard the entire album from which this song was taken years ago. Frankly, it's the only one of all of them that I really like (enuf to download). I much prefer the old Yes works, when the original band was together.",positive,negative
4388,Had it on loop on accident and didn't realize it. Just enjoying it over again several times.,positive,negative
4389,"I noticed that the release date for this MP3 version of ""Latin Beat"" doesn't quite indicate the ""original"" release date of the Francis Bay LPs that led up to the present offering. Bay's Big Band recorded a number of sessions at the Brussels Worlds Fair in 1958. Included were arrangements of big band classics such as the Dorseys, Glenn Miller, Harry James, and Ted Heath. As a kid back then, I bought the whole catalog, with ""Flag Wavers"" being my personal favorite.

""Latin Beat"" is a brassy compilation of Prez Prado ""hits"" along with some other ""latin"" standards. The Bay Big Band was more than competent, and the stereo recordings (still a bit early in the stereo era) are nicely engineered/mixed. This is a rich translation of classic latin rhythms.",positive,negative
4393,"Although released on the expanded 1991 release of Queen's second album, it, as were with most of the ""bonus tracks"" released that year as part of their 20th anniversary album catalog release (not counting those '91 remixes), was not remastered.

I bought this remastered album from Japan when it was first remastered in the mid-2000s. Those contained no bonus tracks, so I was greatly elated when it was included on the 2011 American 40th anniversary album remasters.  Having ""See What A Fool I've Been"" nicely remastered for the 21st Century is an essential track for us Queen completists.",positive,negative
4397,"If you are Hard core Queen Fan you want everything. these rendition of Queen songs are for me great. Demos, Early versions, Live versions or instrumental version of songs I enjoy to listen a lot
This is part of the Deluxe extended albums released short time ago.",positive,negative
4398,"Saw them in Manistee, MI, went home and bought their CD.",positive,negative
4404,"New sound is awesome, especially vocals.  But, there are only 7 tunes on this CD; felt like I was ripped off.",negative,positive
4417,My son could do better....not the best Christian rap I've heard.,negative,positive
4423,Makes you want to get your money up! Currently working overtime and studying real estate online...,positive,negative
4435,"I'm not much for modern country and most folk music, but after seeing these guys on some Appalachian music show on our local public broadcasting channel, I was very much interested in obtaining their music in some fashion. There are at least 4 great tracks, the rest are nothing to turn your nose up to. Its just nice instrument playing and proper vocals.",positive,negative
4440,"After stumbling upon the first ""Nod to Bob"" (10 years ago on Dylan's 60th birthday), I couldn't wait for him to age another decade so that another birthday celebration would be produced.  What a tremendous disappointment!

The 60th was fun, full of surprises, and had lots of twists and clever adaptations.  The newly released Nod to Bob2 is just old and tired, without a single cut which I would look forward to listening to again.

I bought this CD pre-release.  It's like that old line from the movie, ""Hey, you screwed up.  You trusted us.""  Never again.

Tom",negative,positive
4446,"this is suppose to be a new updated/ new versions of the bands hits...i cant tell much of a difference, if any at all...",positive,negative
4454,Excellent music.,negative,positive
4458,This is a very useful compilation of accompaniments. Mr. Palacios is accomplished and has a lovely clear piano technique. The renderings in different tempi are especially welcome. If there were a way to provide the song texts it would make this album even more useful.,positive,negative
4459,disappointed with this arrangement; lacks the bittersweet poignancy & timelessness of this classic...,negative,positive
4480,Love this song sony much. It was great quality,positive,negative
4489,one song ? 9$,negative,positive
4494,"Jay-Z is talking about how a guys thought process is when he does a woman wrong. When he knows she is better then him, and should move on.",positive,negative
4495,Nice tune. Why don't they compose more music like this? The rest of their stuff is crap. Cool name though.,positive,negative
4503,"I bought two of their CDs based off of one song knocking my socks off. Turns out the one song is,in essence, repeated throughout the entire cd.
One key signature, one time signature, one tempo, one mood through the entire cd. Gets old real quick.",negative,positive
4514,"Ernest Reyer (1823-1909) is most famous for his operas, in particular the Wagner-inspired Sigurd, which has received a couple of recordings  the later opera Salammbo has been performed since Reyers death, too, but I am not aware of any complete recording. Well, Le Slam, a symphonie orientale in five tableaux for soloists, choir and orchestra, is an earlier work, having been completed in 1850, and there isn't much Wagner on display here. Instead, it is a splendid example of the orientalism popular in France (and elsewhere) at the time; those things wouldnt fly well these days, of course, but I bet there are more people than me who (secretly or not) enjoys the lush, magical atmospheres of many of these orientalist works. The clearest parallel in Reyers case is of course Felicien Davids contemporaneous Le Dsert, which it resembles in style and atmosphere, even though Reyer claimed not to have heard Davids work when he composed his own.

The symphony (or whatever you choose to call it) is in any case a very enjoyable affair, with pilgrims, djinns, sorcerers, shepherds and soldiers getting their turns, and much beautiful, magical scenery paintings. Overall, however, the work is surprisingly restrained  the music is tuneful, but generally gently rocking and slowly building atmosphere; even the orchestration is generally transparent and only rarely veering toward bombast or clutter. I suppose that the material is ultimately not deeply memorable (no Lakm, this), but it is certainly enjoyable and appealing as long as it lasts.

Le Slam comes coupled with expected and, in this context, completely uninteresting excerpts from Bizet (Pecheurs) and Richard Strauss (Salome). Being thoroughly familiar with both operas, I don't think I have ever bothered to even listen to the excerpts here, and I doubt many interested in this release would care either. Reyers work lasts for approximately 50 minutes and the disc is still worth its price, however. As for the performances, I suppose on could imagine somewhat more polished ones. The Berlin Radio Symphony Orchestra conducted by Guido Maria Guida plays well, and the soloists and chorus are generally good, but lacks that last ounce of polish and finesse to always fully transport the listener to the magical realm Reyer is trying to conjure up for us (this is pure escapist music, after all), but I suppose that is also to some extent Reyers own fault. The recorded sound is a bit recessed; it is also a live recording , so you get the occasional cough and shuffle. Still, an enjoyable release, well worth checking out.",positive,negative
4516,"This is not the famous Larry Dale Version.
Check before buying!",negative,positive
4522,"Long time Dispatch fan. Didn't realize I was missing some of their material until I spotted this song for free on Amazon. Downloaded it, enjoyed it, then purchased the whole album.

Whether you're a fan or not, check it out if you can!",positive,negative
4545,"I've played this piece many times and have heard many recordings, but none pleased me until this. There are many great horn players but Baborak is perhaps the best for beauty and phrasing. I learn as much from him as from Brain.",positive,negative
4546,song,negative,positive
4547,"Good quality, and safe music for young adolescents and preteens.",positive,negative
